FID,OBJECTID,FACILITYID,NAME,ADDRESS,CITY,STATE,ZIP,ZIP4,TELEPHONE,TYPE,STATUS,POPULATION,COUNTY,COUNTYFIPS,COUNTRY,NAICS_CODE,NAICS_DESC,SOURCE,SOURCEDATE,VAL_METHOD,VAL_DATE,WEBSITE,SECURELVL,CAPACITY,Shape_Leng,Shape_Area,Shape__Area,Shape__Length
1013,1001,10000116,NORTHPOINT TRAINING CENTER,710 WALTER REED RD,BURGIN,KY,40310,NOT AVAILABLE,(859) 239-7012,STATE,OPEN,1237,BOYLE,21021,USA,922140,CORRECTIONAL INSTITUTIONS,https://corrections.ky.gov/about/Pages/ResearchandStatistics.aspx,11/29/2017,IMAGERY,2017-12-01T00:00:00.000Z,https://corrections.ky.gov/depts/AI/Pages/default.aspx,MEDIUM,1226,0.0127955850469,1.01516597269e-05,159015.24609375,1600.90896213718
1014,1002,10000102,ROEDERER CORRECTIONAL COMPLEX,P.O. BOX 69,LAGRANGE,KY,40031,NOT AVAILABLE,(502) 222-0170,STATE,OPEN,1209,OLDHAM,21185,USA,922140,CORRECTIONAL INSTITUTIONS,https://corrections.ky.gov/about/Pages/ResearchandStatistics.aspx,11/29/2017,IMAGERY,2017-12-01T00:00:00.000Z,https://corrections.ky.gov/depts/AI/Pages/default.aspx,MAXIMUM,1138,0.0154036090826,7.82504179028e-06,123737.54296875,1854.37179562957
1015,1003,10002360,FREDERICK COUNTY ADULT DETENTION CENTER,7300 MARCIE'S CHOICE LN,FREDERICK,MD,21704,NOT AVAILABLE,(301) 600-2550,COUNTY,OPEN,374,FREDERICK,24021,USA,922140,CORRECTIONAL INSTITUTIONS,http://dlslibrary.state.md.us/publications/JCR/2016/2016_309.pdf,8/30/2016,IMAGERY,2018-03-19T00:00:00.000Z,https://frederickcountymd.gov/677/Sheriff-Adult-Detention,MAXIMUM,405,0.00614593406539,1.80133522707e-06,28873.171875,763.379924217567
1016,1004,10001802,NEW HANOVER REGIONAL JUVENILE DETENTION CENTER,3830 JUVENILE CENTER RD,CASTLE HAYNE,NC,28429,NOT AVAILABLE,(910) 675-0594,STATE,OPEN,-999,NEW HANOVER,37129,USA,922140,CORRECTIONAL INSTITUTIONS,https://www.ncdps.gov/Juvenile-Justice/Juvenile-Facility-Operations/Juvenile-Detention-Centers,12/12/2017,IMAGERY,2017-12-12T00:00:00.000Z,https://www.ncdps.gov/Juvenile-Justice/Juvenile-Facility-Operations/Juvenile-Detention-Centers,JUVENILE,18,0.00189881374539,1.34769061219e-07,2022.1484375,233.35453352298
1017,1005,10005047,GREEN RIVER YOUTH DEVELOPMENT CENTER,363 BOY CAMP ROAD,CROMWELL,KY,42333,NOT AVAILABLE,(270) 526-3826,STATE,OPEN,23,BUTLER,21031,USA,922140,CORRECTIONAL INSTITUTIONS,https://djj.ky.gov/Pages/PREA.aspx,4/21/2015,IMAGERY,2017-12-01T00:00:00.000Z,https://djj.ky.gov/Facilities/Pages/Youth-Development-Centers.aspx,JUVENILE,40,0.00847469958024,3.67733638612e-06,57278.5859375,1060.99010120797
1018,1006,10004185,PITT REGIONAL JUVENILE DETENTION CENTER,451 BELVOIR RD,GREENVILLE,NC,27834,NOT AVAILABLE,(252) 830-6590,STATE,OPEN,-999,PITT,37147,USA,922140,CORRECTIONAL INSTITUTIONS,https://www.ncdps.gov/Juvenile-Justice/Juvenile-Facility-Operations/Juvenile-Detention-Centers,12/12/2017,IMAGERY,2017-12-12T00:00:00.000Z,https://www.ncdps.gov/Juvenile-Justice/Juvenile-Facility-Operations/Juvenile-Detention-Centers,JUVENILE,18,0.00194291805107,1.81262983444e-07,2763.93359375,236.976829645359
1019,1007,10004327,LAKE CUMBERLAND YOUTH DEVELOPMENT CENTER,9000 HIGHWAY 1546,MONTICELLO,KY,42633,NOT AVAILABLE,(606) 348-4201,STATE,OPEN,26,WAYNE,21231,USA,922140,CORRECTIONAL INSTITUTIONS,https://djj.ky.gov/Pages/PREA.aspx,6/16/2017,IMAGERY,2017-12-01T00:00:00.000Z,https://djj.ky.gov/Facilities/Pages/Youth-Development-Centers.aspx,JUVENILE,40,0.00872524372477,2.18820576871e-06,33887.90234375,1093.35995126511
1020,1008,10005684,OWENSBORO TREATMENT CENTER,3001 LEITCHFIELD ROAD,OWENSBORO,KY,42303,NOT AVAILABLE,(270) 687-7311,STATE,OPEN,21,DAVIESS,21059,USA,922140,CORRECTIONAL INSTITUTIONS,https://djj.ky.gov/Pages/PREA.aspx?Paged=TRUE&p_SortBehavior=0&p_FileLeafRef=Morehead%20YDC%202016%2epdf&p_ID=28&PageFirstRow=31&&View={2A6FDF3C-C8B7-4DC5-9FC3-92531E2BBB46},5/23/2015,IMAGERY,2017-12-01T00:00:00.000Z,NOT AVAILABLE,JUVENILE,30,0.0111728649924,6.88230794014e-06,107872.4609375,1449.02719574891
1021,1009,10005054,MAYFIELD YOUTH DEVELOPMENT CENTER,3179 STATE ROAD 45 SOUTH,MAYFIELD,KY,42066,NOT AVAILABLE,(270) 247-3237,STATE,OPEN,20,GRAVES,21083,USA,922140,CORRECTIONAL INSTITUTIONS,https://djj.ky.gov/Pages/PREA.aspx,2/22/2016,IMAGERY,2017-12-01T00:00:00.000Z,https://djj.ky.gov/Facilities/Pages/Youth-Development-Centers.aspx,JUVENILE,30,0.00621513254821,2.13039175234e-06,32932.8046875,793.621812733768
1022,1010,10004312,MOREHEAD YOUTH DEVELOPMENT CENTER,495 FOREST HILLS DR,MOREHEAD,KY,40351,NOT AVAILABLE,(606) 783-8565,STATE,OPEN,6,ROWAN,21205,USA,922140,CORRECTIONAL INSTITUTIONS,https://djj.ky.gov/Pages/PREA.aspx,6/17/2016,IMAGERY,2017-12-01T00:00:00.000Z,https://djj.ky.gov/Facilities/Pages/Youth-Development-Centers.aspx,JUVENILE,40,0.0108690800985,6.72267533859e-06,105990.74609375,1329.5233250104
1023,1011,10003639,NORTHERN KENTUCKY YOUTH DEVELOPMENT CENTER,15600 TURNER ROAD,CRITTENDEN,KY,40130,NOT AVAILABLE,(859) 356-3172,STATE,OPEN,24,KENTON,21117,USA,922140,CORRECTIONAL INSTITUTIONS,https://djj.ky.gov/Pages/PREA.aspx?Paged=TRUE&p_SortBehavior=0&p_FileLeafRef=Morehead%20YDC%202016%2epdf&p_ID=28&PageFirstRow=31&&View={2A6FDF3C-C8B7-4DC5-9FC3-92531E2BBB46},5/15/2016,IMAGERY,2017-12-01T00:00:00.000Z,https://djj.ky.gov/Facilities/Pages/Youth-Development-Centers.aspx,JUVENILE,40,0.00716303417354,2.06921411521e-06,32901.078125,863.998880396053
1024,1012,10006714,GARFIELD COUNTY COMMUNITY CORRECTIONS FACILITY,0244 COUNTY ROAD 333A,RIFLE,CO,81650,NOT AVAILABLE,(970) 625-0334,COUNTY,OPEN,-999,GARFIELD,08045,USA,922140,CORRECTIONAL INSTITUTIONS,https://www.garfield-county.com/criminal-justice/residential.aspx,2/19/2018,IMAGERY/OTHER,2018-02-19T00:00:00.000Z,https://www.garfield-county.com/criminal-justice/residential.aspx,MINIMUM,60,0.00142633012648,1.24786928772e-07,2004.49609375,182.772390982001
1025,1013,10003645,BOYD REGIONAL JUVENILE DETENTION CENTER,2420 ROBERTS DR,ASHLAND,KY,41102,NOT AVAILABLE,(606) 920-2085,STATE,OPEN,18,BOYD,21019,USA,922140,CORRECTIONAL INSTITUTIONS,https://djj.ky.gov/Pages/PREA.aspx,4/3/2017,IMAGERY,2017-12-01T00:00:00.000Z,https://djj.ky.gov/Facilities/Pages/Detention-Centers.aspx,JUVENILE,36,0.00297763577792,3.54048261779e-07,5604.09375,389.211260551442
1026,1014,10003638,CAMPBELL REGIONAL JUVENILE DETENTION CENTER,590 COLUMBIA ST,NEWPORT,KY,41071,6371,(859) 292-6371,STATE,OPEN,18,CAMPBELL,21037,USA,922140,CORRECTIONAL INSTITUTIONS,https://djj.ky.gov/Pages/PREA.aspx,9/14/2015,IMAGERY,2017-12-01T00:00:00.000Z,https://djj.ky.gov/Facilities/Pages/Detention-Centers.aspx,JUVENILE,52,0.00270491348523,3.32572804701e-07,5309.7890625,331.76653422296
1027,1015,10003651,FAYETTE REGIONAL JUVENILE DETENTION CENTER,3475 SPURR RD,LEXINGTON,KY,40511,NOT AVAILABLE,(859) 246-2806,STATE,OPEN,40,FAYETTE,21067,USA,922140,CORRECTIONAL INSTITUTIONS,https://djj.ky.gov/Pages/PREA.aspx,4/12/2017,IMAGERY,2017-12-01T00:00:00.000Z,https://djj.ky.gov/Facilities/Pages/Detention-Centers.aspx,JUVENILE,60,0.00828175930845,4.04913387262e-06,63773.4453125,1006.68593332266
1028,1016,10003657,LINCOLN VILLAGE REGIONAL JUVENILE DETENTION CENTER,820 NEW GLENDALE RD,ELIZABETHTOWN,KY,42701,NOT AVAILABLE,(270) 766-5280,STATE,OPEN,25,HARDIN,21093,USA,922140,CORRECTIONAL INSTITUTIONS,https://djj.ky.gov/Pages/PREA.aspx,5/24/2015,IMAGERY,2017-12-01T00:00:00.000Z,https://djj.ky.gov/Facilities/Pages/Detention-Centers.aspx,JUVENILE,48,0.00310407834255,4.48122244863e-07,7015.484375,390.726388914566
1029,1017,10004705,MOULTRIE COUNTY JAIL,1505 WEST HAGERMAN ROAD,SULLIVAN,IL,61951,NOT AVAILABLE,(217) 728-4386,COUNTY,OPEN,19,MOULTRIE,17139,USA,922140,CORRECTIONAL INSTITUTIONS,http://www.moultriesheriff.com/Moultrie_County_Detention_Center/Moultrie_County_Detention_Center_and_Sheriffs_Office.html,2/26/2018,IMAGERY,2018-03-02T00:00:00.000Z,http://www.moultriesheriff.com/Moultrie_County_Detention_Center/Moultrie_County_Detention_Center_and_Sheriffs_Office.html,NOT AVAILABLE,56,0.001907913723,2.15446753373e-07,3465.37890625,240.824021923018
1030,1018,10002947,AMADOR R RODRIGUEZ BOOT CAMP / ED CTR,2310 W HWY 77,SAN BENITO,TX,78586,NOT AVAILABLE,(956) 361-3509,COUNTY,OPEN,-999,CAMERON,48061,USA,922140,CORRECTIONAL INSTITUTIONS,http://www.co.cameron.tx.us/iJDC/index.html,4/25/2018,IMAGERY,2018-04-25T00:00:00.000Z,http://www.co.cameron.tx.us/iJDC/index.html,JUVENILE,40,0.00416637657873,7.89949828444e-07,10906.59375,486.318336915482
1031,1019,10003680,MCCRACKEN REGIONAL JUVENILE DETENTION CENTER,500 COUNTRY PARK RD,PADUCAH,KY,42001,NOT AVAILABLE,(270) 575-7111,STATE,OPEN,28,MCCRACKEN,21145,USA,922140,CORRECTIONAL INSTITUTIONS,https://djj.ky.gov/Pages/PREA.aspx,6/18/2016,IMAGERY,2017-12-01T00:00:00.000Z,https://djj.ky.gov/Facilities/Pages/Detention-Centers.aspx,JUVENILE,52,0.00252319978337,3.25767427474e-07,5060.74609375,323.769729633953
1032,1020,10001944,WARREN REGIONAL JUVENILE DETENTION CENTER,1020 KENTUCKY ST,BOWLING GREEN,KY,42101,NOT AVAILABLE,(270) 746-7155,STATE,OPEN,16,WARREN,21227,USA,922140,CORRECTIONAL INSTITUTIONS,https://djj.ky.gov/Pages/PREA.aspx?Paged=TRUE&p_SortBehavior=0&p_FileLeafRef=Morehead%20YDC%202016%2epdf&p_ID=28&PageFirstRow=31&&View={2A6FDF3C-C8B7-4DC5-9FC3-92531E2BBB46},11/10/2015,IMAGERY,2017-12-01T00:00:00.000Z,https://djj.ky.gov/Facilities/Pages/Detention-Centers.aspx,JUVENILE,48,0.00307546615362,3.77125691289e-07,5851.23828125,377.995609904087
1033,1021,10003678,ADAIR YOUTH DEVELOPMENT CENTER,401 APPLEBY DRIVE,COLUMBIA,KY,42728,NOT AVAILABLE,(270) 384-0811,STATE,OPEN,18,ADAIR,21001,USA,922140,CORRECTIONAL INSTITUTIONS,https://djj.ky.gov/Pages/PREA.aspx,6/19/2016,IMAGERY,2017-12-01T00:00:00.000Z,https://djj.ky.gov/Facilities/Pages/Youth-Development-Centers.aspx,JUVENILE,80,0.0082765514521,3.40077649148e-06,52827.125,993.40976265987
1034,1022,10005044,CADET LEADERSHIP & EDUCATION PROGRAM,2665 KENTUCKY HIGHWAY 30 WEST,JACKSON,KY,41339,NOT AVAILABLE,(606) 295-2267,STATE,OPEN,17,BREATHITT,21025,USA,922140,CORRECTIONAL INSTITUTIONS,https://djj.ky.gov/Pages/PREA.aspx,3/31/2017,IMAGERY,2017-12-01T00:00:00.000Z,https://djj.ky.gov/Facilities/Pages/Cadet-Leadership-and-Education-Program.aspx,JUVENILE,40,0.0031025300489,5.91603264129e-07,9245.55078125,388.339854532032
1035,1023,10002416,B B RAYBURN CORRECTIONAL CENTER,27268 STATE HWY 21 N,ANGIE,LA,70426,NOT AVAILABLE,(985) 661-6300,STATE,OPEN,1313,WASHINGTON,22117,USA,922140,CORRECTIONAL INSTITUTIONS,http://doc.louisiana.gov/briefing-book,9/27/2017,IMAGERY,2017-12-01T00:00:00.000Z,http://www.doc.la.gov/contact/correctional-facilities/,MEDIUM,1314,0.0195558916002,1.50561215705e-05,217487.296875,2390.78623573876
1036,1024,10000115,LEE ADJUSTMENT CENTER,168 LEE ADJUSTMENT CENTER DRIVE,BEATTYVILLE,KY,41311,NOT AVAILABLE,(606) 464-2866,STATE,OPEN,-999,LEE,21129,USA,922140,CORRECTIONAL INSTITUTIONS,http://www.cca.com/locations,12/1/2017,IMAGERY,2017-12-01T00:00:00.000Z,http://www.cca.com/locations,CLOSE,816,0.0111465085758,5.11679648092e-06,80037.875,1408.71982345991
1037,1025,10000967,ALLEN CORRECTIONAL CENTER,3751 LAUDERDALE WOODYARD RD,KINDER,LA,70648,NOT AVAILABLE,(337) 639-2943,STATE,OPEN,1579,ALLEN,22003,USA,922140,CORRECTIONAL INSTITUTIONS,http://www.doc.la.gov/contact/correctional-facilities/,12/1/2017,IMAGERY,2017-12-01T00:00:00.000Z,http://www.doc.la.gov/contact/correctional-facilities/,MAXIMUM,1576,0.019341723561,2.05701773967e-05,296029.46484375,2257.11752866901
1038,1026,10004094,DIXON CORRECTIONAL INSTITUTE,5568 STATE HWY 68,JACKSON,LA,70748,NOT AVAILABLE,(225) 634-1200,STATE,OPEN,1778,EAST FELICIANA,22037,USA,922140,CORRECTIONAL INSTITUTIONS,http://doc.louisiana.gov/briefing-book,9/27/2017,IMAGERY,2017-12-01T00:00:00.000Z,http://www.doc.la.gov/contact/correctional-facilities/,MAXIMUM,1800,0.0254899000521,1.5127595746e-05,218272.484375,3156.59285723131
1039,1027,10000948,DAVID WADE CORRECTIONAL CENTER,670 BELL HILL RD,HOMER,LA,71040,NOT AVAILABLE,(318) 927-0400,STATE,OPEN,1227,CLAIBORNE,22027,USA,922140,CORRECTIONAL INSTITUTIONS,http://doc.louisiana.gov/briefing-book,9/27/2017,IMAGERY,2017-12-01T00:00:00.000Z,http://www.doc.la.gov/contact/correctional-facilities/,MAXIMUM,1224,0.0142928969064,1.31993637921e-05,194814.48046875,1796.34528281884
1040,1028,10000185,POWLEDGE PRISON,1400 FM 3452,PALESTINE,TX,75803,NOT AVAILABLE,(903) 723-5074,STATE,OPEN,1101,ANDERSON,48001,USA,922140,CORRECTIONAL INSTITUTIONS,"https://www.texastribune.org/library/data/texas-prisons/units/, http://www.tdcj.state.tx.us/unit_directory/index.html",9/15/2016,IMAGERY,2018-01-11T00:00:00.000Z,http://www.tdcj.state.tx.us/unit_directory/index.html,MEDIUM,1137,0.0181945348953,1.26892813231e-05,184884.9140625,2213.68717660327
1041,1029,10003998,MIDDLESEX COUNTY ADULT CORRECTION CENTER,ROUTE 130 AND APPLE ORCHARD LANE,NORTH BRUNSWICK,NJ,08902,NOT AVAILABLE,(732) 951-3360,COUNTY,OPEN,1182,MIDDLESEX,34023,USA,922140,CORRECTIONAL INSTITUTIONS,"http://www.njcjwa.org/jails.html, http://www.drugpolicy.org/sites/default/files/New_Jersey_Jail_Population_Analysis_March_2013.pdf",2/15/2016,IMAGERY,2018-04-06T00:00:00.000Z,http://www.middlesexcountynj.gov/Government/Departments/PSH/Pages/default.aspx,NOT AVAILABLE,1436,0.00998754684058,3.34948784726e-06,54520.76953125,1266.36063775462
1042,1030,10002550,WOOD COUNTY JAIL,400 MARKET ST,WISCONSIN RAPIDS,WI,54495,NOT AVAILABLE,(715) 421-8730,COUNTY,OPEN,110,WOOD,55141,USA,922140,CORRECTIONAL INSTITUTIONS,http://woodcountysheriffsdepartment.com/index.php,5/9/2018,IMAGERY,2018-05-09T00:00:00.000Z,http://woodcountysheriffsdepartment.com/index.php,MAXIMUM,132,0.0046692569894,6.46450652047e-07,11210.80859375,625.36600631256
1043,1031,10000963,LOUISIANA STATE PENITENTIARY,17544 TUNICA TRACE,ANGOLA,LA,70712,NOT AVAILABLE,(225) 655-4411,STATE,OPEN,6073,WEST FELICIANA,22125,USA,922140,CORRECTIONAL INSTITUTIONS,http://doc.louisiana.gov/briefing-book,9/27/2017,IMAGERY,2017-12-01T00:00:00.000Z,http://www.doc.la.gov/contact/correctional-facilities/,MAXIMUM,6312,0.0958348754504,0.000111834972715,1616110.47265625,11529.8932913489
1044,1032,10001768,WAKE JUVENILE DETENTION CENTER,700 BEACON LAKE DR,RALEIGH,NC,27610,NOT AVAILABLE,(919) 212-3104,STATE,OPEN,-999,WAKE,37183,USA,922140,CORRECTIONAL INSTITUTIONS,https://www.ncdps.gov/Juvenile-Justice/Juvenile-Facility-Operations/Juvenile-Detention-Centers,12/13/2017,IMAGERY,2017-12-13T00:00:00.000Z,https://www.ncdps.gov/Juvenile-Justice/Juvenile-Facility-Operations/Juvenile-Detention-Centers,JUVENILE,24,0.00219615242496,1.28061321579e-07,1956.34765625,273.55099930094
1045,1033,10000242,RAMSEY PRISON,1100 FM 655,ROSHARON,TX,77583,NOT AVAILABLE,(281) 595-3491,STATE,OPEN,1798,BRAZORIA,48039,USA,922140,CORRECTIONAL INSTITUTIONS,"https://www.texastribune.org/library/data/texas-prisons/units/, http://www.tdcj.state.tx.us/unit_directory/index.html",9/15/2016,IMAGERY,2018-01-11T00:00:00.000Z,http://www.tdcj.state.tx.us/unit_directory/index.html,MAXIMUM,1891,0.0154019947356,8.05501927349e-06,114472.84375,1808.76592272293
1046,1034,10006216,CHATHAM YOUTH DEVELOPMENT CENTER,560 PROGRESS BLVD.,SILER CITY,NC,27344,NOT AVAILABLE,(919) 742-6220,STATE,OPEN,61,CHATHAM,37037,USA,922140,CORRECTIONAL INSTITUTIONS,https://www.ncdps.gov/annual-report-youth-development-centers-october-2017,10/1/2017,IMAGERY,2017-12-13T00:00:00.000Z,https://www.ncdps.gov/Juvenile-Justice/Juvenile-Facility-Operations/Youth-Development-Centers,JUVENILE,32,0.0030694055315,5.70349804562e-07,8705.4765625,377.285098711745
1047,1035,10002200,GILPIN COUNTY JUSTICE CENTER,2960 DORY HILL ROAD,GOLDEN,CO,80403,NOT AVAILABLE,(303) 582-3576,COUNTY,OPEN,-999,GILPIN,08047,USA,922140,CORRECTIONAL INSTITUTIONS,http://www.gilpincountysheriff.com/divisions,2/19/2018,IMAGERY,2018-02-19T00:00:00.000Z,http://www.gilpincountysheriff.com/divisions,NOT AVAILABLE,55,0.00343516064828,5.87337051633e-07,9478.8515625,432.337739055254
1048,1036,10000156,ROACH UNIT,15845 FM 164,CHILDRESS,TX,79201,NOT AVAILABLE,(940) 937-6364,STATE,OPEN,1369,CHILDRESS,48075,USA,922140,CORRECTIONAL INSTITUTIONS,"https://www.texastribune.org/library/data/texas-prisons/units/, http://www.tdcj.state.tx.us/unit_directory/index.html",9/15/2016,IMAGERY,2018-01-11T00:00:00.000Z,http://www.tdcj.state.tx.us/unit_directory/index.html,MEDIUM,1384,0.0131660193846,1.11841142207e-05,168032.390625,1622.96360187376
1049,1037,10002208,JEFFERSON COUNTY DETENTION FACILITY,200 JEFFERSON COUNTY PARKWAY,GOLDEN,CO,80419,NOT AVAILABLE,(303) 277-0211,COUNTY,OPEN,1470,JEFFERSON,08059,USA,922140,CORRECTIONAL INSTITUTIONS,https://www.jeffco.us/650/Sheriff,2/15/2016,IMAGERY,2018-02-19T00:00:00.000Z,https://www.jeffco.us/650/Sheriff,MAXIMUM,1300,0.00945938884789,2.07322259858e-06,33406.48046875,1224.67460981305
1050,1038,10004664,HULSE JUVENILE DETENTION CENTER,24647 NORTH MILWAUKEE AVENUE,VERNON HILLS,IL,60061,NOT AVAILABLE,(847) 377-7800,COUNTY,OPEN,-999,LAKE,17097,USA,922140,CORRECTIONAL INSTITUTIONS,http://19thcircuitcourt.state.il.us/1194/Juvenile-Detention,3/2/2018,IMAGERY,2018-03-02T00:00:00.000Z,http://19thcircuitcourt.state.il.us/1194/Juvenile-Detention,JUVENILE,-999,0.00444209350304,1.3228745139e-06,22136.1328125,562.685284893945
