"row.id","col.id","PRIMARY_NAME_SF","LOCATION_ADDRESS_SF","CITY_NAME_SF","geometry.x","location_name_PFOA","location_PFOA","geometry.y"
"1",5,10,"EARECKSON AIR STATION USAF","SHEMYA ISLAND","ADAK",c(174.107672, 52.722466),"Earekson Air Station, Shemya Island, Aleutian Islands, Alaska","shemya island, aleutian islands, alaska",c(174.113615264899, 52.7139660495138)
"58",115,1,"MAYCO INDUSTRIES INC","18 W. OXMOOR RD.","BIRMINGHAM",c(-86.84012, 33.45774),"Birmingham ANGB / International Airport, Birmingham, Jefferson County, Alabama","birmingham, jefferson county, alabama",c(-86.754126, 33.5624269)
"59",116,1,"METSO MINERALS INDUSTRIES INC","900 38TH STREET NORTH","BIRMINGHAM",c(-86.78278, 33.5375),"Birmingham ANGB / International Airport, Birmingham, Jefferson County, Alabama","birmingham, jefferson county, alabama",c(-86.754126, 33.5624269)
"60",117,1,"NATIONAL TIRE & SLVG","2900 21ST AVE NO","BIRMINGHAM",c(-86.80727, 33.54333),"Birmingham ANGB / International Airport, Birmingham, Jefferson County, Alabama","birmingham, jefferson county, alabama",c(-86.754126, 33.5624269)
"61",118,1,"NEWFOUND RD HEXACHLOROETHANE BAG SITE","JCT NEWFOUND RD & MT OLIVE RD.","BIRMINGHAM",c(-86.706667, 33.536667),"Birmingham ANGB / International Airport, Birmingham, Jefferson County, Alabama","birmingham, jefferson county, alabama",c(-86.754126, 33.5624269)
"62",119,1,"PSC ALLWORTH","500 MEDCO RD BIRMINGHAM","BIRMINGHAM",c(-86.77125, 33.59459),"Birmingham ANGB / International Airport, Birmingham, Jefferson County, Alabama","birmingham, jefferson county, alabama",c(-86.754126, 33.5624269)
"63",120,1,"PSC METALS,INC.(SHUT DN)","3353 27TH AVENUE NORTH","BIRMINGHAM",c(-86.79895, 33.54954),"Birmingham ANGB / International Airport, Birmingham, Jefferson County, Alabama","birmingham, jefferson county, alabama",c(-86.754126, 33.5624269)
"64",121,1,"PUTNAM MIDDLE SCHOOL","1757 MONTCLAIR RD","BIRMINGHAM",c(-86.7146, 33.52859),"Birmingham ANGB / International Airport, Birmingham, Jefferson County, Alabama","birmingham, jefferson county, alabama",c(-86.754126, 33.5624269)
"65",122,1,"QUALITY CARRIERS ACRYLONITRILE RELEASE","POSTAL ADDRESS IS UNAVAILABLE FOR THE SITE","BIRMINGHAM",c(-86.842954, 33.559438),"Birmingham ANGB / International Airport, Birmingham, Jefferson County, Alabama","birmingham, jefferson county, alabama",c(-86.754126, 33.5624269)
"66",123,1,"READING AVE. DISPOSAL - USX ENSLEY","610 READING AVENUE D","BIRMINGHAM",c(-86.9064, 33.52434),"Birmingham ANGB / International Airport, Birmingham, Jefferson County, Alabama","birmingham, jefferson county, alabama",c(-86.754126, 33.5624269)
"67",124,1,"US LANDS PROPERTY","2336 SHUTTLESWORTH DRIVE","BIRMINGHAM",c(-86.802433, 33.520682),"Birmingham ANGB / International Airport, Birmingham, Jefferson County, Alabama","birmingham, jefferson county, alabama",c(-86.754126, 33.5624269)
"68",125,1,"VILLA SPIRITS","1157 HUFFMAN RD.","BIRMINGHAM",c(-86.687374, 33.610252),"Birmingham ANGB / International Airport, Birmingham, Jefferson County, Alabama","birmingham, jefferson county, alabama",c(-86.754126, 33.5624269)
"69",126,1,"VIRGINIA CAROLINA CHEMICAL (VCC) BIRMINGHAM","3700 14TH AVENUE","BIRMINGHAM",c(-86.78604, 33.54379),"Birmingham ANGB / International Airport, Birmingham, Jefferson County, Alabama","birmingham, jefferson county, alabama",c(-86.754126, 33.5624269)
"70",134,1,"CENTER POINT HIGH SCHOOL MERCURY SPILL","1000 EAGLE DRIVE","CENTER POINT",c(-86.70295, 33.65866),"Birmingham ANGB / International Airport, Birmingham, Jefferson County, Alabama","birmingham, jefferson county, alabama",c(-86.754126, 33.5624269)
"71",146,3,"BIOLOGICAL PROCESSORS OF ALABAMA, INC.","611 FINLEY ISLAND ROAD","DECATUR",c(-87.051894, 34.629671),"Decatur, Decatur, Alabama","decatur, alabama",c(-86.9833417, 34.6059253)
"72",146,7,"BIOLOGICAL PROCESSORS OF ALABAMA, INC.","611 FINLEY ISLAND ROAD","DECATUR",c(-87.051894, 34.629671),"Mud Tavern (Morgan County) Landfill, Morgan County, Alabama","morgan county, alabama",c(-87.1013632, 34.6236145)
"73",147,3,"BP AMOCO CHEMICALS","1400 FINLEY ISLAND ROAD","DECATUR",c(-87.062543, 34.640326),"Decatur, Decatur, Alabama","decatur, alabama",c(-86.9833417, 34.6059253)
"74",147,7,"BP AMOCO CHEMICALS","1400 FINLEY ISLAND ROAD","DECATUR",c(-87.062543, 34.640326),"Mud Tavern (Morgan County) Landfill, Morgan County, Alabama","morgan county, alabama",c(-87.1013632, 34.6236145)
"75",148,3,"DENBO SLOUGH","JCT US 27 & BELT LINE RD","DECATUR",c(-87.008333, 34.625),"Decatur, Decatur, Alabama","decatur, alabama",c(-86.9833417, 34.6059253)
"76",148,7,"DENBO SLOUGH","JCT US 27 & BELT LINE RD","DECATUR",c(-87.008333, 34.625),"Mud Tavern (Morgan County) Landfill, Morgan County, Alabama","morgan county, alabama",c(-87.1013632, 34.6236145)
"77",149,3,"MED WASTE OF ALABAMA","807 MARKET STREET N.E.","DECATUR",c(-86.9745, 34.60895),"Decatur, Decatur, Alabama","decatur, alabama",c(-86.9833417, 34.6059253)
"78",149,7,"MED WASTE OF ALABAMA","807 MARKET STREET N.E.","DECATUR",c(-86.9745, 34.60895),"Mud Tavern (Morgan County) Landfill, Morgan County, Alabama","morgan county, alabama",c(-87.1013632, 34.6236145)
"79",150,3,"NORFOLK SOUTHERN DECATUR ALABAMA HF RELEASE","1650 FIFTH STREET NW","DECATUR",c(-87.010422, 34.61303),"Decatur, Decatur, Alabama","decatur, alabama",c(-86.9833417, 34.6059253)
"80",150,7,"NORFOLK SOUTHERN DECATUR ALABAMA HF RELEASE","1650 FIFTH STREET NW","DECATUR",c(-87.010422, 34.61303),"Mud Tavern (Morgan County) Landfill, Morgan County, Alabama","morgan county, alabama",c(-87.1013632, 34.6236145)
"81",151,3,"SUMMERVILLE ENTERPRISES","620 HIGHWAY 67","DECATUR",c(-86.889701, 34.521334),"Decatur, Decatur, Alabama","decatur, alabama",c(-86.9833417, 34.6059253)
"82",164,1,"TAYLOR AVENUE MYSTERY SPILL","BRIDGEPORT ROAD AND TAYLOR AVENUE","FAIRFIELD",c(-86.914037, 33.519448),"Birmingham ANGB / International Airport, Birmingham, Jefferson County, Alabama","birmingham, jefferson county, alabama",c(-86.754126, 33.5624269)
"83",178,1,"SALAZAR & SONS, INC","2714 CONE DRIVE","FULTONDALE",c(-86.78264, 33.6218),"Birmingham ANGB / International Airport, Birmingham, Jefferson County, Alabama","birmingham, jefferson county, alabama",c(-86.754126, 33.5624269)
"84",179,5,"ETOWAH COUNTY (RIDGEVILLE) LANDFILL","NOBLE HILL ROAD","GADSDEN",c(-86.107222, 34.071944),"Gadsden, Etowah County (Gadsden, Rainbow City and Southside), Alabama","etowah county (gadsden, rainbow city and southside), alabama",c(-86.0066386, 34.014264)
"85",180,5,"GADSDEN MANUFACTURING GAS PLANT","624 BROAD STREET","GADSDEN",c(-86.0073, 34.01482),"Gadsden, Etowah County (Gadsden, Rainbow City and Southside), Alabama","etowah county (gadsden, rainbow city and southside), alabama",c(-86.0066386, 34.014264)
"86",181,5,"HARSCO METALS PLANT 1","174 SOUTH 26TH STREET","GADSDEN",c(-86.04363, 34.018296),"Gadsden, Etowah County (Gadsden, Rainbow City and Southside), Alabama","etowah county (gadsden, rainbow city and southside), alabama",c(-86.0066386, 34.014264)
"87",182,5,"ODESSA STREET DRUM SITE","1401 ODESSA DRIVE","GADSDEN",c(-85.96229, 33.99565),"Gadsden, Etowah County (Gadsden, Rainbow City and Southside), Alabama","etowah county (gadsden, rainbow city and southside), alabama",c(-86.0066386, 34.014264)
"88",183,5,"GLENCOE BATTERY CO. AKA H.D. POLLARD","219 WEST MAIN STREET","GLENCOE",c(-85.93342, 33.95539),"Gadsden, Etowah County (Gadsden, Rainbow City and Southside), Alabama","etowah county (gadsden, rainbow city and southside), alabama",c(-86.0066386, 34.014264)
"89",203,5,"HOKES BLUFF MERCURY","3173 AARON WAY","HOKES BLUFF",c(-85.91184, 34.00526),"Gadsden, Etowah County (Gadsden, Rainbow City and Southside), Alabama","etowah county (gadsden, rainbow city and southside), alabama",c(-86.0066386, 34.014264)
"90",219,1,"GAO 137 - IRONDALE","2601 COMMERCE BLVD","IRONDALE",c(-86.69513, 33.54506),"Birmingham ANGB / International Airport, Birmingham, Jefferson County, Alabama","birmingham, jefferson county, alabama",c(-86.754126, 33.5624269)
"91",220,1,"NORFOLK IRONDALE DERAILMENT","1400 NORFOLK SOUTHERN DRIVE","IRONDALE",c(-86.70194, 33.54505),"Birmingham ANGB / International Airport, Birmingham, Jefferson County, Alabama","birmingham, jefferson county, alabama",c(-86.754126, 33.5624269)
"92",232,1,"MCCOMBS DUMP","WOMACK ROAD","MCCOMBS",c(-86.61909, 33.56185),"Birmingham ANGB / International Airport, Birmingham, Jefferson County, Alabama","birmingham, jefferson county, alabama",c(-86.754126, 33.5624269)
"93",254,6,"ANGELICA HEALTHCARE SERVICES","1038 ADAMS AVE","MONTGOMERY",c(-86.29419, 32.37558),"Maxwell-Gunter AFB, Montgomery, Alabama","montgomery, alabama",c(-86.2521159, 32.4107172)
"94",255,6,"BUCHANAN LUMBER","455 FLACK ROAD","MONTGOMERY",c(-86.355638, 32.367841),"Maxwell-Gunter AFB, Montgomery, Alabama","montgomery, alabama",c(-86.2521159, 32.4107172)
"95",256,6,"CAPITOL CITY PLUME","MADISON AVENUE","MONTGOMERY",c(-86.306, 32.382),"Maxwell-Gunter AFB, Montgomery, Alabama","montgomery, alabama",c(-86.2521159, 32.4107172)
"96",258,6,"CAROLINA STEEL GROUP, LLC","1085 PARKER STREET","MONTGOMERY",c(-86.36212, 32.354033),"Maxwell-Gunter AFB, Montgomery, Alabama","montgomery, alabama",c(-86.2521159, 32.4107172)
"97",259,6,"COLISEUM BOULEVARD PLUME","COLISEUM BOULEVARD","MONTGOMERY",c(-86.266667, 32.416667),"Maxwell-Gunter AFB, Montgomery, Alabama","montgomery, alabama",c(-86.2521159, 32.4107172)
"98",260,6,"GAMBLES/TRINITY PROPERTY","WEST SIDE OF LAFAYETTE STREET","MONTGOMERY",c(-86.313056, 32.3875),"Maxwell-Gunter AFB, Montgomery, Alabama","montgomery, alabama",c(-86.2521159, 32.4107172)
"99",262,6,"REV. DAVID JONES PROPERTY","595 GRADY STREET","MONTGOMERY",c(-86.31951, 32.36899),"Maxwell-Gunter AFB, Montgomery, Alabama","montgomery, alabama",c(-86.2521159, 32.4107172)
"100",263,6,"T.H. AGRICULTURE & NUTRITION CO. (MONTGOMERY PLANT)","3017 BIRMINGHAM HIGHWAY","MONTGOMERY",c(-86.3791, 32.3761),"Maxwell-Gunter AFB, Montgomery, Alabama","montgomery, alabama",c(-86.2521159, 32.4107172)
"101",264,6,"VIRGINIA CAROLINA CHEMICAL (VCC) MONTGOMERY","1645 NORTH COURT STREET","MONTGOMERY",c(-86.30959, 32.40434),"Maxwell-Gunter AFB, Montgomery, Alabama","montgomery, alabama",c(-86.2521159, 32.4107172)
"102",265,6,"WADSWORTH BROOKVIEW","644 OAKBROOK DRIVE","MONTGOMERY",c(-86.29192, 32.4266),"Maxwell-Gunter AFB, Montgomery, Alabama","montgomery, alabama",c(-86.2521159, 32.4107172)
"103",266,6,"WESTERN YARD OF ALABAMA","815 NORTH COURT STREET","MONTGOMERY",c(-86.309171, 32.388551),"Maxwell-Gunter AFB, Montgomery, Alabama","montgomery, alabama",c(-86.2521159, 32.4107172)
"104",294,5,"OWENS PLATING CO","1440 SUTTON BRIDGE RD","RAINBOW CITY",c(-86.04273, 33.976195),"Gadsden, Etowah County (Gadsden, Rainbow City and Southside), Alabama","etowah county (gadsden, rainbow city and southside), alabama",c(-86.0066386, 34.014264)
"105",297,2,"BLYTHE DRUG LAB","2105 SAND ROCK AVENUE","SAND ROCK",c(-85.76772, 34.242593),"Centre, Centre, Cherokee County, Alabama","centre, cherokee county, alabama",c(-85.6788531, 34.1520406)
"106",317,1,"CARLIE LEE SITE","CORNER OF DEPOT AND PINSON ST.","TARRANT",c(-86.77, 33.581667),"Birmingham ANGB / International Airport, Birmingham, Jefferson County, Alabama","birmingham, jefferson county, alabama",c(-86.754126, 33.5624269)
"107",318,1,"SOUTH TARRANT NEIGHBORHOOD","1056 OVERTON AVENUE","TARRANT",c(-86.77824, 33.5782),"Birmingham ANGB / International Airport, Birmingham, Jefferson County, Alabama","birmingham, jefferson county, alabama",c(-86.754126, 33.5624269)
"108",347,34,"CHAFFEE CROSSING BARRACKS FIRE","POSTAL ADDRESS IS UNAVAILABLE FOR THE SITE","BARLING",c(-94.2853, 35.3139),"Fort Smith Municipal Airport/ANGB, Fort Smith, Arkansas","fort smith, arkansas",c(-94.3643069, 35.3371854)
"109",362,34,"FORT CHAFFEE","SR96 & SR22;COLONEL,FIELD ARTILLERY","FORT CHAFFEE",c(-94.305, 35.308333),"Fort Smith Municipal Airport/ANGB, Fort Smith, Arkansas","fort smith, arkansas",c(-94.3643069, 35.3371854)
"110",363,34,"FLANDERS INDUSTRIES INC","1901 WHEELER AVENUE","FORT SMITH",c(-94.42617, 35.36363),"Fort Smith Municipal Airport/ANGB, Fort Smith, Arkansas","fort smith, arkansas",c(-94.3643069, 35.3371854)
