"","FRS_FACILITY_DETAIL_REPORT_URL","REGISTRY_ID","PRIMARY_NAME","LOCATION_ADDRESS","SUPPLEMENTAL_LOCATION","CITY_NAME","COUNTY_NAME","FIPS_CODE","STATE_CODE","STATE_NAME","COUNTRY_NAME","POSTAL_CODE","FEDERAL_FACILITY_CODE","FEDERAL_AGENCY_NAME","TRIBAL_LAND_CODE","TRIBAL_LAND_NAME","CONGRESSIONAL_DIST_NUM","CENSUS_BLOCK_CODE","HUC_CODE","EPA_REGION_CODE","SITE_TYPE_NAME","LOCATION_DESCRIPTION","CREATE_DATE","UPDATE_DATE","US_MEXICO_BORDER_IND","PGM_SYS_ACRNMS","INTEREST_TYPES","NAICS_CODES","NAICS_CODE_DESCRIPTIONS","SIC_CODES","SIC_CODE_DESCRIPTIONS","LATITUDE83","LONGITUDE83","CONVEYOR","COLLECT_DESC","ACCURACY_VALUE","REF_POINT_DESC","HDATUM_DESC","SOURCE_DESC"
"11","http://ofmpub.epa.gov/enviro/fii_query_detail.disp_program_facility?p_registry_id=110009332105",110009332105,"ROGERS ROAD MUNICIPAL LANDFILL","ROGER RD 2/10MI S OF GRAHAM RD","ROGER RD 2/10MI S OF GRAHAM RD","JACKSONVILLE","PULASKI","05119","AR","ARKANSAS","UNITED STATES","72076","","","","",2,51190036071000,8020402,6,"CONTAMINATED SITE","","01-MAR-2000 00:00:00","29-FEB-2016 12:28:25","","ICIS:41161, SEMS:ARD981055809","FORMAL ENFORCEMENT ACTION, SUPERFUND NPL","","","","",34.8627,-92.0778,"SEMS","",NA,"","NAD83",NA
"12","http://ofmpub.epa.gov/enviro/fii_query_detail.disp_program_facility?p_registry_id=110009332203",110009332203,"MID-SOUTH WOOD PRODUCTS","HIGHWAY 71 SOUTH 3 BLOCKS S-S REINE ST","HWY 71 SOUTH","MENA","POLK","05113","AR","ARKANSAS","UNITED STATES","71953","","","","",4,51139502004064,11140108,6,"CONTAMINATED SITE","","01-MAR-2000 00:00:00","26-FEB-2016 15:17:46","","ICIS:35371, NPDES:AR0041262, RCRAINFO:ARD980629885, SEMS:ARD092916188","FORMAL ENFORCEMENT ACTION, ICIS-NPDES NON-MAJOR, SUPERFUND NPL, UNSPECIFIED UNIVERSE","321114","WOOD PRESERVATION.","2491, 2499","WOOD PRESERVING, WOOD PRODUCTS, NOT ELSEWHERE CLASSIFIED",34.5697,-94.2566,"SEMS","",NA,"","NAD83",NA
"13","http://ofmpub.epa.gov/enviro/fii_query_detail.disp_program_facility?p_registry_id=110055264672",110055264672,"MACMILLAN RING FREE OIL","MACMILLAN ROAD OFF ARKANSAS HIGHWAY 335","","NORPHLET","UNION","05139","AR","ARKANSAS","USA","71759","","","","",4,51399502003038,8040201,6,"CONTAMINATED SITE","","25-JUN-2013 14:50:32","28-FEB-2019 15:59:11","","SEMS:ARD008049207","SUPERFUND NPL","","","","",33.30836,-92.65688,"SEMS","",NA,"","NAD83",NA
"14","http://ofmpub.epa.gov/enviro/fii_query_detail.disp_program_facility?p_registry_id=110070605431",110070605431,"NORPHLET CHEMICAL, INC.","600 MACMILLIAN ROAD (STATE HIGHWAY 335)","","NORPHLET","UNION","05139","AR","","USA","71759","","","","",4,51399502003043,8040201,6,"CONTAMINATED SITE","","16-SEP-2019 11:37:00","","","SEMS:ARN000606985","SUPERFUND (NON-NPL)","","","","",33.3093,-92.656,"SEMS","",NA,"","NAD83",NA
"15","http://ofmpub.epa.gov/enviro/fii_query_detail.disp_program_facility?p_registry_id=110009332043",110009332043,"MIDLAND PRODUCTS","1/2 MI E ON HIGHWAY 10","","OLA/BIRTA","YELL","05149","AR","ARKANSAS","USA","72853","","","","",2,51499525004069,11110204,6,"CONTAMINATED SITE","","01-MAR-2000 00:00:00","28-FEB-2019 16:15:49","","SEMS:ARD980745665","SUPERFUND NPL","","","","",35.025,-93.203889,"SEMS","",NA,"","NAD83",NA
"16","http://ofmpub.epa.gov/enviro/fii_query_detail.disp_program_facility?p_registry_id=110009332089",110009332089,"MONROE AUTO EQUIPMENT CO. (PARAGOULD PIT)","HWY 358 2 1/2 MI W OF TOWN","HWY 358 2 1/2 MI W OF TOWN","PARAGOULD","GREENE","05055","AR","ARKANSAS","UNITED STATES","72450","","","","",1,50554806004075,8020203,6,"CONTAMINATED SITE","","01-MAR-2000 00:00:00","29-FEB-2016 12:28:25","","ICIS:35000, SEMS:ARD980864110","FORMAL ENFORCEMENT ACTION, SUPERFUND NPL","","","9999","NONCLASSIFIABLE ESTABLISHMENTS",36.020831,-90.575,"SEMS","",NA,"","NAD83",NA
"17","http://ofmpub.epa.gov/enviro/fii_query_detail.disp_program_facility?p_registry_id=110070605415",110070605415,"PLAINVIEW LUMBER COMPANY","HWY 28 W & 3RD ST.","","PLAINVIEW","YELL","05149","AR","","USA","72857","","","","",2,51499526003049,11110206,6,"CONTAMINATED SITE","","16-SEP-2019 11:37:00","","","SEMS:ARD006349187","SUPERFUND (NON-NPL)","","","","",34.99,-93.295,"SEMS","",NA,"","NAD83",NA
"18","http://ofmpub.epa.gov/enviro/fii_query_detail.disp_program_facility?p_registry_id=110009332613",110009332613,"PHOENIX-GOODYEAR AIRPORT AREA","BETWEEN LWR BUCKEYE ROAD & VAN BUREN","BETWEEN LWR BUCKEYE ROAD & VAN BUREN","GOODYEAR","MARICOPA","04013","AZ","ARIZONA","UNITED STATES","85338","","","","",2,40130610241001,15070102,9,"CONTAMINATED SITE","","01-MAR-2000 00:00:00","26-FEB-2016 15:45:45","","SEMS:AZD980695902","SUPERFUND NPL","","","","",33.429719,-112.3653,"SEMS","",NA,"","NAD83",NA
"19","http://ofmpub.epa.gov/enviro/fii_query_detail.disp_program_facility?p_registry_id=110009265801",110009265801,"HASSAYAMPA LANDFILL","OLD WICKENBURG RD","OLD WICKENBURG RD","HASSAYAMPA","MARICOPA","04013","AZ","ARIZONA","UNITED STATES","85343","","","","",7,40130506041109,15070103,9,"CONTAMINATED SITE","","01-MAR-2000 00:00:00","26-FEB-2016 15:45:45","","ICIS:46056, SEMS:AZD980735666","FORMAL ENFORCEMENT ACTION, SUPERFUND NPL","","","","",33.368331,-112.7483,"SEMS","",NA,"","NAD83",NA
"20","http://ofmpub.epa.gov/enviro/fii_query_detail.disp_program_facility?p_registry_id=110070605569",110070605569,"HUMBOLDT SMELTER","END OF MAIN STREET","","HUMBOLDT","YAVAPAI","04025","AZ","","USA","86329","","","","",1,40250007003106,15070102,9,"CONTAMINATED SITE","","16-SEP-2019 11:37:04","","","SEMS:AZN000906020","SUPERFUND (NON-NPL)","","","","",34.491944,-112.229444,"SEMS","",NA,"","NAD83",NA
"21","http://ofmpub.epa.gov/enviro/fii_query_detail.disp_program_facility?p_registry_id=110070605607",110070605607,"GOODYEAR AEROSPACE CORP","101 S LITCHFIELD RD","","LITCHFIELD PARK","MARICOPA","04013","AZ","","USA","85340","","","","",2,40130613001002,15070102,9,"CONTAMINATED SITE","","16-SEP-2019 11:37:06","","","SEMS:AZD008398786","SUPERFUND (NON-NPL)","","","","",33.442354,-112.35831,"FRS-GEOCODE","ADDRESS MATCHING-HOUSE NUMBER",50,"ENTRANCE POINT OF A FACILITY OR STATION","NAD83",NA
"22","http://ofmpub.epa.gov/enviro/fii_query_detail.disp_program_facility?p_registry_id=110070605609",110070605609,"GARRETT TURBINE ENGINE CO","111 S 34TH ST.","","PHOENIX","MARICOPA","04013","AZ","","USA","85034","","","","",4,40131138011019,15060106,9,"CONTAMINATED SITE","","16-SEP-2019 11:37:06","","","SEMS:AZD009000050","SUPERFUND (NON-NPL)","","","","",33.44702,-112.00739,"FRS-GEOCODE","ADDRESS MATCHING-HOUSE NUMBER",50,"ENTRANCE POINT OF A FACILITY OR STATION","NAD83",NA
"23","http://ofmpub.epa.gov/enviro/fii_query_detail.disp_program_facility?p_registry_id=110009265892",110009265892,"INDIAN BEND WASH AREA","MCDOWELL RD & HAYDEN","MCDOWELL RD & HAYDEN","SCOTTSDALE","MARICOPA","04013","AZ","ARIZONA","UNITED STATES","85253","","","","",5,40132178002013,15060106,9,"CONTAMINATED SITE","","01-MAR-2000 00:00:00","26-FEB-2016 15:45:45","","ICIS:36923, SEMS:AZD980695969","FORMAL ENFORCEMENT ACTION, SUPERFUND NPL","","","3672","PRINTED CIRCUIT BOARDS",33.466669,-111.9083,"SEMS","",NA,"","NAD83",NA
"24","http://ofmpub.epa.gov/enviro/fii_query_detail.disp_program_facility?p_registry_id=110070605567",110070605567,"ARIZONA CASTING","115 N PERRY LN","","TEMPE","MARICOPA","04013","AZ","","USA","85281","","","","",5,40133184002055,15060106,9,"CONTAMINATED SITE","","16-SEP-2019 11:37:04","","","SEMS:AZD070254008","SUPERFUND (NON-NPL)","","","","",33.429065,-111.904761,"FRS-GEOCODE","ADDRESS MATCHING-HOUSE NUMBER",50,"ENTRANCE POINT OF A FACILITY OR STATION","NAD83",NA
"25","http://ofmpub.epa.gov/enviro/fii_query_detail.disp_program_facility?p_registry_id=110070605608",110070605608,"DCE CIRCUITS","1310 E 8TH ST","","TEMPE","MARICOPA","04013","AZ","","USA","85281","","","","",5,40133191033001,15060106,9,"CONTAMINATED SITE","","16-SEP-2019 11:37:06","","","SEMS:AZD038444154","SUPERFUND (NON-NPL)","","","","",33.41931,-111.91607,"FRS-GEOCODE","ADDRESS MATCHING-HOUSE NUMBER",30,"CENTER OF A FACILITY OR STATION","NAD83",NA
"26","http://ofmpub.epa.gov/enviro/fii_query_detail.disp_program_facility?p_registry_id=110009332418",110009332418,"GILBERT PUMP OF TUCSON","2840 W. RUTHRAUFF RD.","2840 W. RUTHRAUFF RD.","TUCSON","PIMA","04019","AZ","ARIZONA","UNITED STATES","85705","","","","",8,40190045121018,15050301,9,"CONTAMINATED SITE","","01-MAR-2000 00:00:00","26-FEB-2016 15:38:14","","AZURITE:1405","STATE MASTER","","","","",32.29423,-111.02805,"FRS-GEOCODE","ADDRESS MATCHING-HOUSE NUMBER",30,"CENTER OF A FACILITY OR STATION","NAD83",NA
"27","http://ofmpub.epa.gov/enviro/fii_query_detail.disp_program_facility?p_registry_id=110070605570",110070605570,"GILBERT PUMP OF TUCSON, INC.","2840 W. RUTHRAUFF RD.","","TUCSON","PIMA","04019","AZ","","USA","85705","","","","",8,40190045121018,15050301,9,"CONTAMINATED SITE","","16-SEP-2019 11:37:04","","","SEMS:AZD983480401","SUPERFUND (NON-NPL)","","","","",32.29423,-111.02805,"FRS-GEOCODE","ADDRESS MATCHING-HOUSE NUMBER",30,"CENTER OF A FACILITY OR STATION","NAD83",NA
"28","http://ofmpub.epa.gov/enviro/fii_query_detail.disp_program_facility?p_registry_id=110009265829",110009265829,"TUCSON INTERNATIONAL AIRPORT AREA","7250 S TUCSON BLVD","NOGALES HWY","TUCSON","PIMA","04019","AZ","ARIZONA","UNITED STATES","85756","","","","",7,40194105021047,15050301,9,"CONTAMINATED SITE","","01-MAR-2000 00:00:00","06-MAY-2019 15:40:46","Yes","AZURITE:31010, NPDES:AZU000052, SEMS:AZD980737530","ICIS-NPDES UNPERMITTED, STATE MASTER, SUPERFUND NPL","","","","",32.105561,-110.9333,"SEMS","",NA,"","NAD83",NA
"29","http://ofmpub.epa.gov/enviro/fii_query_detail.disp_program_facility?p_registry_id=110009267925",110009267925,"SAN GABRIEL VALLEY (AREA 3)","MAIN ST & GAFIELD AVE","MAIN ST & GAFIELD AVE","ALHAMBRA","LOS ANGELES","06037","CA","CALIFORNIA","UNITED STATES","91801","","","","",29,60374803022005,18070105,9,"CONTAMINATED SITE","","01-MAR-2000 00:00:00","26-FEB-2016 15:32:52","","SEMS:CAD980818579","SUPERFUND NPL","","","","",34.1,-118.125,"SEMS","",NA,"","NAD83",NA
"30","http://ofmpub.epa.gov/enviro/fii_query_detail.disp_program_facility?p_registry_id=110009266105",110009266105,"SANTOS LANDFILL","N 1ST ST","CITY OF ALVISO LANDFILL","ALVISO","SANTA CLARA","06085","CA","CALIFORNIA","UNITED STATES","95002","","","","",16,60855121001067,18050003,9,"CONTAMINATED SITE","","01-MAR-2000 00:00:00","01-JUN-2017 17:17:18","","CA-ENVIROVIEW:326230, EIS:2339511","AIR EMISSIONS CLASSIFICATION UNKNOWN, STATE MASTER","562212","SOLID WASTE LANDFILL.","4953","REFUSE SYSTEMS",37.192019,-121.706274,"EIS","INTERPOLATION-OTHER",NA,"ACRES POINTS NOT REPRESENTED BY 101-107","NAD83",NA
"31","http://ofmpub.epa.gov/enviro/fii_query_detail.disp_program_facility?p_registry_id=110070605627",110070605627,"SANTOS LANDFILL","CITY OF ALVISO LANDFILL","","ALVISO","SANTA CLARA","06085","CA","","USA","95002","","","","",15,60855046021047,18050003,9,"CONTAMINATED SITE","","16-SEP-2019 11:37:06","","","SEMS:CA0000341669","SUPERFUND (NON-NPL)","","","","",37.425,-121.975,"SEMS","",NA,"","NAD83",NA
"32","http://ofmpub.epa.gov/enviro/fii_query_detail.disp_program_facility?p_registry_id=110009329173",110009329173,"SOUTH BAY ASBESTOS AREA","FT OF LIBERTY ST GUADALUPE RIV","FT OF LIBERTY ST GUADALUPE RIV","ALVISO","SANTA CLARA","06085","CA","CALIFORNIA","UNITED STATES","95002","","","","",15,60855046021024,18050003,9,"CONTAMINATED SITE","","01-MAR-2000 00:00:00","26-FEB-2016 15:33:26","","DTSC-ENVIROSTOR:43490060, ICIS:33837, SEMS:CAD980894885","FORMAL ENFORCEMENT ACTION, STATE MASTER, SUPERFUND NPL","","","","",37.429861,-121.9811,"SEMS","",NA,"","NAD83",NA
"33","http://ofmpub.epa.gov/enviro/fii_query_detail.disp_program_facility?p_registry_id=110070605525",110070605525,"AEROJET ELECTROSYSTEMS CO.","1100 W HOLLYVALE ST","","AZUSA","LOS ANGELES","06037","CA","","USA","91702","","","","",26,60374011013001,18070106,9,"CONTAMINATED SITE","","16-SEP-2019 11:37:03","","","SEMS:CAD079622569","SUPERFUND (NON-NPL)","","","","",34.135,-117.858333,"SEMS","",NA,"","NAD83",NA
"34","http://ofmpub.epa.gov/enviro/fii_query_detail.disp_program_facility?p_registry_id=110009267916",110009267916,"SAN GABRIEL VALLEY (AREA 2)","SUNSET & SAN BERNARDINO FREEWAY","SUNSET & SAN BERNARDINO FREEWAY","BALDWIN PARK","LOS ANGELES","06037","CA","CALIFORNIA","USA","91706","","","","",32,60374053022005,18070106,9,"CONTAMINATED SITE","","01-MAR-2000 00:00:00","28-FEB-2019 15:51:31","","SEMS:CAD980818512","SUPERFUND NPL","","","","",34.073611,-117.9361,"SEMS","",NA,"","NAD83",NA
"35","http://ofmpub.epa.gov/enviro/fii_query_detail.disp_program_facility?p_registry_id=110070605499",110070605499,"DIE CASTING ID CORP","1304 S VARNEY","","BURBANK","LOS ANGELES","06037","CA","","USA","91502","","","","",36,60375435031012,18070104,9,"CONTAMINATED SITE","","16-SEP-2019 11:37:02","","","SEMS:CAD008304412","SUPERFUND (NON-NPL)","","","","",33.833333,-118.291667,"SEMS","",NA,"","NAD83",NA
"36","http://ofmpub.epa.gov/enviro/fii_query_detail.disp_program_facility?p_registry_id=110070605500",110070605500,"ACROMILL","18421 RAILROAD ST.","","CITY OF INDUSTRY","LOS ANGELES","06037","CA","","USA","91748","","","","",42,60374087231007,18070106,9,"CONTAMINATED SITE","","16-SEP-2019 11:37:02","","","SEMS:CAD008339863","SUPERFUND (NON-NPL)","","","","",33.976667,-117.903333,"SEMS","",NA,"","NAD83",NA
"37","http://ofmpub.epa.gov/enviro/fii_query_detail.disp_program_facility?p_registry_id=110070605506",110070605506,"APPLIED SOLAR ENERGY CORP","15251 E DON JULIAN RD","","CITY OF INDUSTRY","LOS ANGELES","06037","CA","","USA","91745","","","","",38,60374082022019,18070106,9,"CONTAMINATED SITE","","16-SEP-2019 11:37:02","","","SEMS:CAD097456099","SUPERFUND (NON-NPL)","","","","",34.023333,-117.956667,"SEMS","",NA,"","NAD83",NA
"38","http://ofmpub.epa.gov/enviro/fii_query_detail.disp_program_facility?p_registry_id=110009329164",110009329164,"SULPHUR BANK MERCURY MINE","SULPHUR BANK ROAD","","CLEARLAKE OAKS","LAKE","06033","CA","CALIFORNIA","USA","95422","","","","",1,60330006004046,18020116,9,"CONTAMINATED SITE","","01-MAR-2000 00:00:00","28-FEB-2019 15:51:34","","SEMS:CAD980893275","SUPERFUND NPL","","","","",39.00555,-122.6703,"SEMS","",NA,"","NAD83",NA
"39","http://ofmpub.epa.gov/enviro/fii_query_detail.disp_program_facility?p_registry_id=110009333104",110009333104,"ATLAS ASBESTOS MINE","LOS GATOS CREEK ROAD NORTHWEST OF FRESNO","LOS GATOS CREEK RD NW OF FRESNO","COALINGA","FRESNO","06019","CA","CALIFORNIA","UNITED STATES","93210","","Interior: not otherwise classified","","",20,60190079021026,18030011,9,"CONTAMINATED SITE","","01-MAR-2000 00:00:00","26-FEB-2016 15:38:26","","FFDOCKET:CAD980496863, ICIS:36536, SEMS:CAD980496863","FEDERAL FACILITY HAZARDOUS WASTE DOCKET, FORMAL ENFORCEMENT ACTION, SUPERFUND NPL","","","3292","ASBESTOS PRODUCTS",36.321669,-120.5867,"SEMS","",NA,"","NAD83",NA
"40","http://ofmpub.epa.gov/enviro/fii_query_detail.disp_program_facility?p_registry_id=110064129269",110064129269,"INTERSIL INC./SIEMENS COMPONENTS","10900 N TANTAU AVE/19000 HOMESTEAD RD","","CUPERTINO","SANTA CLARA","","CA","CALIFORNIA","USA","95014","","","","",15,60855081021001,18050003,9,"CONTAMINATED SITE","","09-MAY-2015 06:41:34","26-FEB-2016 15:39:25","","SEMS:CAD041472341","SUPERFUND NPL","","","","",37.3361,-122.0015,"SEMS","",NA,"","NAD83",NA
"41","http://ofmpub.epa.gov/enviro/fii_query_detail.disp_program_facility?p_registry_id=110070605584",110070605584,"SIEMENS COMPONENT","19000 HOMSTEAD RD","","CUPERTINO","SANTA CLARA","06085","CA","","USA","95014","","","","",15,60855081012015,18050003,9,"CONTAMINATED SITE","","16-SEP-2019 11:37:05","","","SEMS:CAD980884217","SUPERFUND (NON-NPL)","","","","",37.323333,-122.031667,"SEMS","",NA,"","NAD83",NA
"42","http://ofmpub.epa.gov/enviro/fii_query_detail.disp_program_facility?p_registry_id=110070605527",110070605527,"AAA PUMPING SERVICE - 2","NR 3264 GILMAN RD","","EL MONTE","LOS ANGELES","06037","CA","","USA","91732","","","","",32,60374333021008,18070105,9,"CONTAMINATED SITE","","16-SEP-2019 11:37:03","","","SEMS:CAD980735740","SUPERFUND (NON-NPL)","","","","",34.066667,-118.025,"SEMS","",NA,"","NAD83",NA
"43","http://ofmpub.epa.gov/enviro/fii_query_detail.disp_program_facility?p_registry_id=110009329538",110009329538,"SAN GABRIEL VALLEY (AREA 1)","PECK RD & REAL","PECK RD & REAL","EL MONTE","LOS ANGELES","06037","CA","CALIFORNIA","UNITED STATES","91733","","","","",26,60374311005004,18070105,9,"CONTAMINATED SITE","","01-MAR-2000 00:00:00","26-FEB-2016 15:38:33","","ICIS:38814, SEMS:CAD980677355","FORMAL ENFORCEMENT ACTION, SUPERFUND NPL","","","3471, 4941","ELECTROPLATING, PLATING, POLISHING, ANODIZING, AND COLORING, WATER SUPPLY",34.125,-118,"SEMS","",NA,"","NAD83",NA
"44","http://ofmpub.epa.gov/enviro/fii_query_detail.disp_program_facility?p_registry_id=110009268087",110009268087,"PACIFIC COAST PIPE LINES","67 EAST TELEGRAPH ROAD","67 E TELEGRAPH RD","FILLMORE","VENTURA","06111","CA","CALIFORNIA","UNITED STATES","93015","","","","",24,61110003022025,18070102,9,"CONTAMINATED SITE","","01-MAR-2000 00:00:00","26-FEB-2016 15:38:32","","CA-ENVIROVIEW:347187, DTSC-ENVIROSTOR:56130038, ICIS:26130, SEMS:CAD980636781","FORMAL ENFORCEMENT ACTION, STATE MASTER, SUPERFUND NPL","","","2911, 4612","CRUDE PETROLEUM PIPELINES, PETROLEUM REFINING",34.404169,-118.9028,"SEMS","",NA,"","NAD83",NA
"45","http://ofmpub.epa.gov/enviro/fii_query_detail.disp_program_facility?p_registry_id=110070605553",110070605553,"U.S. AIR FORCE PLANT #70","POSTAL ADDRESS IS UNAVAILABLE FOR THE SITE","","FOLSOM","SACRAMENTO","06067","CA","","USA","","Yes","","","",NA,NA,NA,9,"CONTAMINATED SITE","","16-SEP-2019 11:37:03","","","SEMS:CA0000906211","SUPERFUND (NON-NPL)","","","","",NA,NA,"","",NA,"","NAD83",NA
"46","http://ofmpub.epa.gov/enviro/fii_query_detail.disp_program_facility?p_registry_id=110029528624",110029528624,"U.S. AIR FORCE PLANT #70","","","FOLSOM","SACRAMENTO","","CA","CALIFORNIA","UNITED STATES","95630","Yes","Defense: Air Force","","",NA,NA,NA,9,"CONTAMINATED SITE","","01-MAY-2007 13:15:09","10-DEC-2015 22:54:15","","FFDOCKET:CA0000906211","FEDERAL FACILITY HAZARDOUS WASTE DOCKET","","","","",NA,NA,"","",NA,"","NAD83",NA
